,data,freq
1491,NIH,1
1492,UDH,1
1493,MAKAN,1
1494,UANG,1
1495,RAKYAT,1
1496,TIDUR,1
1497,PULA,1
1498,matinya,1
1499,apain,1
1500,Sakit,1
1501,nurani,1
1502,urat,1
1503,malunya,1
1504,Pajak,1
1505,ngegaji,1
1506,modar,1
1507,Pengen,1
1508,Hey,1
1509,keriting.pengen,1
1510,penggal,1
1511,leher,1
1512,makanan,1
1513,buaya,1
1514,SEJAGAT,1
1515,RAYA,1
1516,DIMANA2,1
1517,YG,1
1518,DISINI,1
1519,TOLONG,1
1520,DIKIT,1
1521,pertemuan,1
1522,ranum,1
1523,manah,1
1524,mentok2nya,1
1525,liyat,1
1526,lgsg,1
1527,disosor,1
1528,Begok,1
1529,aje,1
1530,amanda,1
1531,boros,1
1532,cabe,1
1533,kgk,1
1534,haltis,1
1535,Astagah,1
1536,demen,1
1537,dekil,1
1538,kumel,1
1539,Ibaratnya,1
1540,turun,1
1541,Nagita,1
1542,barlen,1
1543,Alah,1
1544,Sama,1
1545,bejat,1
1546,Aku,1
1547,stju,1
1548,ustazah,1
1549,Msuk,1
1550,bkan,1
1551,Msh,1
1552,sna,1
1553,azab,1
1554,diampuni,1
1555,Gilaaaaa,1
1556,gatal,1
1557,berpoligami,1
1558,woiii,1
1559,haduh,1
1560,menguji,1
1561,kesetiaan,1
1562,nafsunya,1
1563,Menyakiti,1
1564,sja,1
1565,menutup,1
1566,korbankan,1
1567,Sbg,1
1568,seorg,1
1569,imam,1
1570,mmpertahankan,1
1571,tangganya,1
1572,mencoreng,1
1573,sndiri,1
1574,Biasalah,1
1575,barang,1
1576,ngembat,1
1577,GATEL,1
1578,wes,1
1579,ilfil,1
1580,caption/ig,1
1581,story,1
1582,ngomongin,1
1583,mlu,1
1584,ambigu,1
1585,c.,1
1586,zholimi,1
1587,salahinnya,1
1588,lawan,1
1589,ngmg,1
1590,ah,1
1591,udin,1
1592,muak,1
1593,kabar,1
1594,sering,1
1595,pemujanya,1
1596,bukannya,1
1597,gotong,1
1598,royong,1
1599,nasehatin,1
1600,menggila,1
1601,muja,1
1602,mojokin,1
1603,viaa,1
1604,Dese,1
1605,keles,1
1606,ahh,1
1607,duh,1
1608,pdhal,1
1609,sosial,1
1610,ortunya,1
1611,heran,1
1612,dirugikan,1
1613,junjunganny,1
1614,Knp,1
1615,cuihh,1
1616,Belajaer,1
1617,sebegitunya,1
1618,manusah2,1
1619,begoh,1
1620,kampyuung,1
1621,adem,1
1622,isyana,1
1623,agnezmo,1
1624,liaaat,1
1625,telaah,1
1626,jawabannya,1
1627,high,1
1628,komenmu,1
1629,beda2,1
1630,temen,1
1631,mikirnya,1
1632,curh,1
1633,kontra,1
1634,postingan,1
